has_entities: true
entities:
  - entity15:
      id: a15
      name: "ChebNet"
      has_parameters: false
  - entity4:
      id: a4
      name: "GCN"
      has_parameters: false
  - entity20:
      id: a20
      name: "GAT"
      has_parameters: false
  - entity16:
      id: a16
      name: "GraphSAGE"
      has_parameters: false
  - entity17:
      id: a17
      name: "SGC"
      has_parameters: false
  - entity21:
      id: a21
      name: "Geom-GCN"
      has_parameters: false
  - entity22:
      id: a22
      name: "H2GCN"
      has_parameters: false
  - entity23:
      id: a23
      name: "FA-GCN"
      has_parameters: false
  - entity18:
      id: a18
      name: "GPR-GNN"
      has_parameters: false
  - entity19:
      id: a19
      name: "PairNorm"
      has_parameters: false
  - entity24:
      id: a24
      name: "JKNet"
      has_parameters: false
  - entity5:
      id: a5
      name: "GCNII"
      has_parameters: false
  - entity6:
      id: a6
      name: "GDE"
      has_parameters: false
  - entity25:
      id: a25
      name: "CGNN"
      has_parameters: false
  - entity7:
      id: a7
      name: "GRAND"
      has_parameters: false
  - entity8:
      id: a8
      name: "BLEND"
      has_parameters: false
