has_entities: true
entities:
  - entity1:
      id: a1
      name: "NER"
      type: method
      has_parameters: false
  - entity2:
      id: a2
      name: "relation extraction"
      type: method
      has_parameters: false
  - entity3:
      id: a3
      name: "co-reference resolution"
      type: method
      has_parameters: false
  - entity4:
      id: a4
      name: "entity linking"
      type: method
      has_parameters: false
  - entity5:
      id: a5
      name: "event extraction"
      type: method
      has_parameters: false
