has_entities: true
entities:
  - entity23:
      id: a23
      name: "GREAD"
      type: model
      has_parameters: false
  - entity19:
      id: a19
      name: "Chameleon"
      type: dataset
      has_parameters: false
  - entity20:
      id: a20
      name: "Squirrel"
      type: dataset
      has_parameters: false
  - entity21:
      id: a21
      name: "Film"
      type: dataset
      has_parameters: false
  - entity24:
      id: a24
      name: "Texas"
      type: dataset
      has_parameters: false
  - entity25:
      id: a25
      name: "Wisconsin"
      type: dataset
      has_parameters: false
  - entity26:
      id: a26
      name: "Cornell"
      type: dataset
      has_parameters: false
  - entity27:
      id: a27
      name: "Cora"
      type: dataset
      has_parameters: false
  - entity28:
      id: a28
      name: "CiteSeer"
      type: dataset
      has_parameters: false
  - entity29:
      id: a29
      name: "PubMed"
      type: dataset
      has_parameters: false
