has_entities: true
entities:
  - entity25:
      id: a25
      name: "Chameleon"
      has_parameters: false
  - entity26:
      id: a26
      name: "Squirrel"
      has_parameters: false
  - entity27:
      id: a27
      name: "Wikipedia"
      has_parameters: false
  - entity30:
      id: a30
      name: "Film"
      has_parameters: false
  - entity31:
      id: a31
      name: "film-director-actor-writer network"
      has_parameters: false
  - entity28:
      id: a28
      name: "Cornell"
      has_parameters: false
  - entity29:
      id: a29
      name: "Texas"
      has_parameters: false
  - entity32:
      id: a32
      name: "Wisconsin"
      has_parameters: false
  - entity33:
      id: a33
      name: "WebKB dataset"
      has_parameters: false
  - entity34:
      id: a34
      name: "CMU"
      has_parameters: false
  - entity35:
      id: a35
      name: "Cora"
      has_parameters: false
  - entity36:
      id: a36
      name: "Citeseer"
      has_parameters: false
  - entity37:
      id: a37
      name: "Pubmed"
      has_parameters: false
