has_entities: true
entities:
  - entity15:
      id: a15
      name: "GNNs"
      type: model
      has_parameters: false
  - entity16:
      id: a16
      name: "GCN"
      type: model
      has_parameters: false
  - entity17:
      id: a17
      name: "GAT"
      type: model
      has_parameters: false
  - entity18:
      id: a18
      name: "GREAD"
      type: model
      has_parameters: false
  - entity19:
      id: a19
      name: "GRAND"
      type: model
      has_parameters: false
  - entity20:
      id: a20
      name: "H2GCN"
      type: model
      has_parameters: false
