has_entities: true
entities:
  - entity4:
      id: a4
      name: "ATSEN"
      has_parameters: false
  - entity12:
      id: a12
      name: "DistilRoBERTa"
      has_parameters: false
  - entity5:
      id: a5
      name: "RoBERTa"
      has_parameters: false
  - entity6:
      id: a6
      name: "KB-Matching"
      has_parameters: false
  - entity13:
      id: a13
      name: "AutoNER"
      has_parameters: false
  - entity7:
      id: a7
      name: "LRNT"
      has_parameters: false
  - entity8:
      id: a8
      name: "Co-teaching+"
      has_parameters: false
  - entity9:
      id: a9
      name: "NegSampling"
      has_parameters: false
  - entity14:
      id: a14
      name: "BOND"
      has_parameters: false
  - entity15:
      id: a15
      name: "SCDL"
      has_parameters: false
